fileID,f1,f2,vot,notes
bi03_kaka,1052.98,1895.67,14.34,
bi03_kaka1,839.46,1493.46,29.57,
bi03_kaka2,825.56,1657.57,22.08,
bi03_keke,678.05,2373.75,19.69,
bi03_keke1,526.62,2277.76,16.77,
bi03_keke2,470.83,2520.61,17.35,
bi03_kiki,415.90,2668.64,30.59,
bi03_kiki1,356.16,2686.33,19.93,
bi03_kiki2,345.53,2679.70,19.17,
bi03_koko,564.93,833.85,24.34,
bi03_koko1,562.95,895.78,27.06,
bi03_koko2,781.82,1142.92,27.72,
bi03_kuku,400.75,757.28,25.11,
bi03_kuku1,273.51,1667.84,26.40,
bi03_kuku2,412.68,831.10,30.27,
bi03_paka,1126.55,1699.88,11.95,
bi03_paka1,754.78,1621.93,5.58,
bi03_paka2,638.58,1780.54,9.45,
bi03_peke,408.05,1789.06,4.49,
bi03_peke1,555.43,2331.33,9.69,
bi03_peke2,923.61,2459.85,8.21,
bi03_piki,367.39,2695.70,18.71,
bi03_piki1,331.54,2866.15,17.03,
bi03_piki2,1230.59,2531.73,13.64,
bi03_poko,532.10,888.93,19.62,
bi03_poko1,622.36,1901.72,8.37,
bi03_poko2,515.32,869.20,14.68,
bi03_puku,520.88,567.52,13.46,
bi03_puku1,676.52,1591.68,23.30,
bi03_puku2,422.71,816.70,12.24,
bi03_taka,758.84,1639.19,6.62,
bi03_taka1,826.63,1645.52,9.68,
bi03_taka2,862.18,1538.50,10.17,
bi03_teke,460.21,2349.34,7.44,
bi03_teke1,452.92,2405.23,8.85,
bi03_teke2,436.28,2438.68,6.46,
bi03_tiki,357.00,2505.54,7.94,
bi03_tiki1,915.77,2307.75,8.65,
bi03_tiki2,424.49,1887.54,12.20,
bi03_toko,798.48,935.71,10.10,
bi03_toko1,750.67,1144.74,10.36,
bi03_toko2,773.43,1067.61,7.83,
bi03_tuku,650.56,771.40,10.81,
bi03_tuku1,399.68,736.59,10.24,
bi03_tuku2,402.85,753.60,12.21,
