fileID,f1,f2,vot,notes
ne01_kaka,871.87,1651.75,32.33,
ne01_kaka1,952.07,1765.06,38.03,
ne01_kaka2,1069.41,1767.19,26.70,
ne01_keke,470.14,2480.50,35.31,
ne01_keke1,603.33,2456.73,27.29,
ne01_keke2,492.58,2638.47,27.91,
ne01_kiki,364.08,2845.36,38.10,
ne01_kiki1,1252.04,2148.75,41.82,
ne01_kiki2,438.62,2784.40,40.07,
ne01_koko,661.81,1076.34,44.18,
ne01_koko1,577.48,1062.20,27.41,
ne01_koko2,646.38,1102.89,31.60,
ne01_kuku,490.64,1107.01,60.26,
ne01_kuku1,444.88,1013.04,59.79,
ne01_kuku2,1088.31,2133.59,53.69,
ne01_paka,764.02,1492.04,17.42,
ne01_paka1,798.40,1529.37,8.63,
ne01_paka2,843.88,1644.49,9.37,
ne01_peke,378.65,2678.26,6.58,
ne01_peke1,394.60,2683.22,17.64,
ne01_peke2,547.51,2518.37,8.37,
ne01_piki,402.08,2832.04,15.06,
ne01_piki1,419.31,2879.42,6.56,
ne01_piki2,372.15,2926.05,6.04,
ne01_poko,520.88,1081.46,22.87,
ne01_poko1,576.12,1155.74,20.66,
ne01_poko2,507.18,1054.34,10.76,
ne01_puku,420.24,1062.30,22.13,
ne01_puku1,449.98,1061.95,47.07,
ne01_puku2,437.93,1012.48,59.26,
ne01_taka,883.68,1703.37,12.09,
ne01_taka1,1204.65,1775.15,11.91,
ne01_taka2,927.74,1728.72,11.06,
ne01_teke,515.61,2472.08,13.70,
ne01_teke1,548.45,2472.90,14.90,
ne01_teke2,806.79,2501.47,12.49,
ne01_tiki,372.46,2870.27,19.21,
ne01_tiki1,385.25,2840.85,24.53,
ne01_tiki2,361.42,3008.52,29.45,
ne01_toko,586.57,989.34,32.54,
ne01_toko1,471.41,1077.05,25.25,
ne01_toko2,557.81,1063.89,12.10,
ne01_tuku,423.53,1061.60,40.35,
ne01_tuku1,414.03,1072.30,30.98,
ne01_tuku2,1063.68,1687.14,39.83,
