fileID,f1,f2,vot,notes
ne02_kaka,593.31,1440.14,34.41,
ne02_kaka1,941.44,2260.25,44.26,
ne02_kaka2,83.36,1502.85,63.16,
ne02_keke,466.61,2408.88,32.18,
ne02_keke1,411.20,2489.55,44.60,
ne02_keke2,497.23,2240.30,27.95,
ne02_kiki,356.73,2691.24,56.04,
ne02_kiki1,344.01,2779.01,46.41,
ne02_kiki2,328.05,2761.52,54.02,
ne02_koko,554.04,1041.45,42.61,
ne02_koko1,440.36,1020.36,31.77,
ne02_koko2,532.53,1077.50,39.34,
ne02_kuku,907.46,1147.84,57.73,
ne02_kuku1,291.94,1182.96,49.30,
ne02_kuku2,480.77,1141.25,46.24,
ne02_paka,761.30,1680.10,17.08,
ne02_paka1,864.99,1520.52,11.35,
ne02_paka2,1054.07,1784.90,8.58,
ne02_peke,544.74,2393.48,38.72,
ne02_peke1,525.33,2456.00,9.79,
ne02_peke2,528.95,2470.84,21.86,
ne02_piki,343.47,2626.03,9.06,
ne02_piki1,382.78,2663.50,12.51,
ne02_piki2,448.93,2641.10,12.59,
ne02_poko,570.91,1014.13,16.45,
ne02_poko1,1013.10,2155.85,17.05,
ne02_poko2,363.97,996.69,13.66,
ne02_puku,435.55,1052.19,18.79,
ne02_puku1,493.92,1209.48,26.33,
ne02_puku2,450.77,1262.26,18.66,
ne02_taka,841.05,1764.46,18.14,
ne02_taka1,828.09,1587.93,15.31,
ne02_taka2,802.70,1670.01,17.38,
ne02_teke,518.12,2391.99,19.55,
ne02_teke1,485.57,2479.45,24.45,
ne02_teke2,644.58,1878.82,27.27,
ne02_tiki,303.19,2854.36,31.29,
ne02_tiki1,314.54,2740.18,31.06,
ne02_tiki2,300.92,2722.63,26.18,
ne02_toko,498.18,994.88,22.29,
ne02_toko1,592.73,1152.97,28.42,
ne02_toko2,545.47,1018.27,28.53,
ne02_tuku,468.42,1302.35,22.01,
ne02_tuku1,444.20,1123.18,32.34,
ne02_tuku2,736.68,1534.14,42.36,
